income_bound_l,income_bound_r,educ_bound_l,educ_bound_r,age_bound_l,age_bound_r,value
8.0,9.0,1.0,2.0,20.0,25.0,30
0.0,1.0,4.0,5.0,80.0,85.0,43
8.0,9.0,9.0,10.0,55.0,60.0,366
10.0,11.0,16.0,17.000000100000001,20.0,25.0,3
11.0,12.000000099999999,4.0,5.0,60.0,65.0,16
7.0,8.0,11.0,12.0,70.0,75.0,14
7.0,8.0,14.0,15.0,40.0,45.0,26
7.0,8.0,12.0,13.0,40.0,45.0,34
9.0,10.0,9.0,10.0,65.0,70.0,1454
9.0,10.0,3.0,4.0,45.0,50.0,65
0.0,1.0,10.0,11.0,70.0,75.0,17
6.0,7.0,13.0,14.0,60.0,65.0,13
3.0,4.0,9.0,10.0,45.0,50.0,2
8.0,9.0,12.0,13.0,40.0,45.0,142
10.0,11.0,13.0,14.0,80.0,85.0,226
9.0,10.0,12.0,13.0,50.0,55.0,307
3.0,4.0,9.0,10.0,30.0,35.0,5
6.0,7.0,5.0,6.0,60.0,65.0,6
0.0,1.0,3.0,4.0,55.0,60.0,27
7.0,8.0,8.0,9.0,45.0,50.0,13
10.0,11.0,2.0,3.0,40.0,45.0,21
4.0,5.0,14.0,15.0,40.0,45.0,2
8.0,9.0,14.0,15.0,45.0,50.0,89
10.0,11.0,12.0,13.0,30.0,35.0,1092
